smooth_p,smooth_a,smooth_b,smooth_N,smooth_order,smooth_bits,smooth_largest_factor,smooth_largest_factor_bits,smooth_num_factors,smooth_time,prime_p,prime_a,prime_b,prime_N,prime_order,prime_bits,prime_time,speedup
3754698667,1619595542,838273914,3754653849,3754653849,32,1889,11,4,0.017158317565917968,2209370857,1321293883,1886015765,2209308679,2209308679,32,2.8597885608673095,166.67068609033004
4107371269,2571267867,1333727219,4107398860,4107398860,32,409,9,6,0.017974328994750977,2770560869,525716212,145938140,2770549169,2770549169,32,4.44132981300354,247.09294095487715
4855014623,740499463,1432254221,4854918624,4854918624,33,3793,12,5,0.019391775131225586,5714684893,1050169355,3204917404,5714810279,5714810279,33,5.935965490341187,306.1073805864634
5902041697,2408119643,688475961,5901960024,5901960024,33,3037,12,4,0.022104549407958984,8494257911,5583350642,5712108775,8494394501,8494394501,33,6.70790810585022,303.46278415586994
6272991299,5732589828,1952091291,6272917640,6272917640,33,5477,13,6,0.02192544937133789,5841204893,4449167473,3189946634,5841172999,5841172999,33,6.799891424179077,310.1369239468476
6391499759,2768528063,4753122319,6391474260,6391474260,33,1627,11,6,0.01887688636779785,5853547339,4365613246,1092133562,5853486517,5853486517,33,5.7596022605896,305.1139975295357
7798853189,7186487639,6445124233,7799016690,7799016690,33,5503,13,6,0.02281670570373535,6152475943,5175634019,1181284745,6152408599,6152408599,33,5.7616997241973875,252.52110444910252
10439221711,7254684997,8492775293,10439176077,10439176077,34,5261,13,5,0.020591545104980468,16059843491,1270466336,3306827705,16059818639,16059818639,34,9.76623740196228,474.2838554451227
10746268657,1921666015,10614455926,10746172149,10746172149,34,1171,11,5,0.01597762107849121,16104566321,11618342306,4411192782,16104447199,16104447199,34,9.496217823028564,594.344913825263
12569341063,2435142251,8272404468,12569318578,12569318578,34,7829,13,4,0.020855283737182616,11605973713,5194049452,10154252479,11606128433,11606128433,34,8.681973743438721,416.29612202109445
14620699109,4060192536,5654817447,14620511909,14620511909,34,1231,11,4,0.01914534568786621,13652235287,2559995448,13213694042,13652312617,13652312617,34,9.687834882736206,506.01514543955653
15298787173,6525814280,15032503209,15298674318,15298674318,34,4721,13,5,0.023703813552856445,11487653767,10451736681,7464354458,11487505741,11487505741,34,8.830828857421874,372.5488659337564
22017282731,14106680756,21105859296,22017039178,22017039178,35,7537,13,4,0.022266292572021486,17841049637,14501649861,14940824471,17840848141,17840848141,35,11.1582537651062,501.12760034093
26292336043,20662315759,13441848548,26292205670,26292205670,35,877,10,6,0.01738438606262207,18398890591,12415024696,17787862611,18398947997,18398947997,35,11.103141784667969,638.6847222946045
29493662689,10622157737,13842325068,29493795804,29493795804,35,1439,11,7,0.021013402938842775,18025994011,12859002709,7575818382,18026028103,18026028103,35,10.406452941894532,495.2293054190881
29842400377,3273825910,3971781572,29842263634,29842263634,35,1097,11,5,0.017913246154785158,18573016279,4557614827,10600824673,18572830739,18572830739,35,9.14941143989563,510.76233535994544
33514009129,6380930721,9281492320,33514217716,33514217716,35,107,7,7,0.0314793586730957,26346726779,14039261607,7349144330,26346529249,26346529249,35,11.41154613494873,362.50885075056425
