m,m_bits,p,p_bits,a,b,N,bsgs_time,rho_time,bsgs_table_size
10256179,24,246143071,28,64151114,95164295,246148296,0.2858259677886963,0.15584135055541992,3203
12032963,24,168462013,28,122358861,112289943,168461482,0.21083378791809082,0.2413320541381836,3469
12986221,24,3895848251,32,509887977,282285258,3895866300,0.21898698806762695,0.5623116493225098,3604
13658369,24,218527181,28,100208185,94508461,218533904,0.3248412609100342,0.08235788345336914,3696
14175389,24,67205279957,36,42721402154,16698324498,67205519249,0.3083031177520752,0.13107681274414062,3766
15163823,24,841532019577,40,587626904411,293109914724,841531521208,0.2396838665008545,0.8191142082214355,3895
17412833,25,892581708233,40,104600431031,104387981092,892581819580,0.32239842414855957,0.4700772762298584,4173
20094409,25,3335693429,32,2332487176,1070618871,3335671894,0.24151277542114258,0.20520544052124023,4483
21094813,25,55247337869,36,24742274389,47033322488,55247315247,0.2801859378814697,0.30652379989624023,4593
24450061,25,55599622681,36,26968259014,8546580550,55599438714,0.49811410903930664,0.29714155197143555,4945
29325581,25,744458806187,40,132525792095,23600463038,744459199266,0.4294297695159912,0.5035881996154785,5416
34223447,26,136881317,28,81960981,62760503,136893788,0.3283841609954834,0.3818397521972656,5851
36030067,26,3206631829,32,1639017063,1639185487,3206675963,0.6031980514526367,0.35442161560058594,6003
41077711,26,246470027,28,153188624,128102268,246466266,0.4589416980743408,0.5353379249572754,6410
43834969,26,263021441,28,150706052,122233547,263009814,0.7397165298461914,0.7449617385864258,6621
45113437,26,43038606763,36,22275840088,33863303937,43038218898,0.449817419052124,0.3347775936126709,6717
55914533,26,612152589353,40,103535845993,131331436556,612152307284,0.7897861003875732,1.5170931816101074,7478
67985653,27,1068053386667,40,541020504847,193716277410,1068054608630,0.6239578723907471,0.32166433334350586,8246
74946913,27,4122034379,32,3383333417,2111564472,4122080215,0.8262004852294922,0.7110724449157715,8658
83536039,27,730689157427,40,37305071181,656167638965,730689733133,0.9194967746734619,0.7200734615325928,9140
84947729,27,66004500259,36,3812174968,23721860891,66004385433,0.8680505752563477,0.8393173217773438,9217
85394717,27,256161817,28,211084878,120967898,256184151,0.42055296897888184,0.8493342399597168,9241
98050567,27,49515881059,36,7585837279,9924167588,49515536335,0.7595345973968506,0.3095893859863281,9903
106801763,27,3844883477,32,507760720,1464094669,3844863468,1.043546438217163,0.5771334171295166,10335
122810197,27,2701770853,32,285026542,1483480962,2701824334,0.6697227954864502,0.34189534187316895,11082
138787669,28,52461695089,36,6080315801,207985076,52461738882,0.7943089008331299,0.8043832778930664,11781
165130799,28,63575574449,36,37644025429,45333300376,63575357615,0.9141855239868164,1.3235182762145996,12851
169538869,28,169559251,28,155966017,123655417,169538869,0.805394172668457,0.27376365661621094,13021
190937497,28,3436908647,32,2440593827,958055613,3436874946,1.2206709384918213,0.32949352264404297,13819
241561069,28,241574929,28,78572576,137998575,241561069,1.273451805114746,2.1651172637939453,15543
245657539,28,50114494459,36,15016111371,34023950773,50114137956,1.0030779838562012,2.8711235523223877,15674
253664623,28,4058711603,32,3597755713,3343677285,4058633968,0.9163088798522949,1.3027775287628174,15927
263761489,28,263753323,28,100947128,5316435,263761489,0.9598078727722168,1.8636415004730225,16241
354888421,29,569240563919,40,308470043123,235812454445,569241027284,0.9095094203948975,0.7559711933135986,18839
360726307,29,2164400369,32,782768052,812890473,2164357842,1.143847942352295,3.1250646114349365,18993
364786033,29,2553413963,32,1868889136,1056286159,2553502231,1.748962163925171,0.4226264953613281,19100
425393701,29,39987128339,36,8025736285,25110818655,39987007894,1.9556455612182617,0.8552777767181396,20626
519368131,29,35316997951,36,16932954966,20783754738,35317032908,1.2057757377624512,4.574997663497925,22790
535962121,29,2679850567,32,7153137,836862972,2679810605,2.33640456199646,0.9123897552490234,23151
635251471,30,53996297933,36,40779685889,3034413799,53996375035,2.2549307346343994,3.4690182209014893,25205
747844847,30,2991303533,32,1254545896,897729022,2991379388,1.8006517887115479,0.5321371555328369,27347
901426573,30,2704320287,32,324021096,908959071,2704279719,1.8138978481292725,0.39525294303894043,30024
938702939,30,63832285157,36,16570167158,43150111,63831799852,2.3309085369110107,2.7665956020355225,30639
969705743,30,970674450803,40,482057909575,446532886513,970675448743,2.4710183143615723,3.248706817626953,31141
1168809133,31,937383173737,40,934078514862,396162975844,937384924666,3.448455572128296,2.728320598602295,34188
1282959263,31,57733168667,36,8835694625,39397334459,57733166835,1.9129161834716797,1.6242446899414062,35819
1692359321,31,573709433849,40,376621174839,410951601928,573709809819,4.2694079875946045,2.2274718284606934,41139
1981056433,31,3962036387,32,1997602417,158081437,3962112866,3.3775405883789062,5.527261257171631,44510
2163074587,32,43261474181,36,4710372771,23964449895,43261491740,3.7041091918945312,2.987884044647217,46509
2355798481,32,49471828573,36,40497578325,22700943971,49471768101,4.918575048446655,9.610077619552612,48537
3114777209,32,46721279837,36,18784218085,15543414608,46721658135,5.879613637924194,9.390503883361816,55811
3476203369,32,66048127297,36,33426069527,2971961054,66047864011,5.989216327667236,6.002338647842407,58960
7900622417,33,703155413291,40,248860199298,698630928233,703155395113,4.605421781539917,11.84915566444397,88886
8646163843,34,795448043077,40,147632930743,290341676691,795447073556,8.721855640411377,9.851250648498535,92985
9751591319,34,58509120749,36,9317323821,17532437155,58509547914,8.086244821548462,2.588118553161621,98751
10435042301,34,1033070811293,40,24643768974,554574436613,1033069187799,6.507534742355347,4.13122034072876,102153
11735931811,34,563323940233,40,285778749878,418098718078,563324726928,7.297349452972412,3.2505908012390137,108333
13151117513,34,946879583653,40,893719992129,584097166803,946880460936,8.642048835754395,7.025050401687622,114679
17163203741,34,978304011259,40,27634163108,260051425671,978302613237,6.832639694213867,15.699324369430542,131009
30223680343,35,906710325509,40,715688027798,830951408720,906710410290,17.10662269592285,5.440191030502319,173850
40973760049,36,40973646341,36,12261478654,28608915736,40973760049,16.89078688621521,34.75269031524658,202420
47398156109,36,758370614527,40,695278013686,124904233530,758370497744,19.116729974746704,10.508002281188965,217712
58000867387,36,58001088683,36,38131992047,20057303514,58000867387,19.890806198120117,17.650148153305054,240834
60557803661,36,1029482866703,40,442899034785,859268132459,1029482662237,21.608185291290283,6.425991773605347,246085
66399890399,36,66399870751,36,42558544557,27267684466,66399890399,18.70803165435791,21.710516214370728,257682
68475880777,36,821710011011,40,297944089434,145506329123,821710569324,24.500046014785767,45.629438400268555,261679
